,Generation,Population_size,Num_species,"list_of_[ID,age,size,fitness,adj_fit,stag]",Total_extinctions,Generation_time,Average_time,Average_fitness,Stdev_fitness,Best_genome_fitness
0,0,32,1,"[[1, 0, 32, '41.5', '0.144', 0]]",0,128.13793992996216,128.13793992996216,-69.7161010767511,30.2394931593745,41.546687697159925
1,1,32,1,"[[1, 1, 32, '105.3', '0.125', 0]]",0,179.03541135787964,153.5866756439209,-64.05187079345428,34.98602381560356,105.28825622776077
2,2,32,1,"[[1, 2, 32, '264.6', '0.123', 0]]",0,240.68916153907776,182.62083760897318,-44.25755792978322,66.37423988200497,264.5956521739129
3,3,32,1,"[[1, 3, 32, '237.2', '0.165', 1]]",0,258.803316116333,201.66645723581314,-34.049373158300696,74.0814833045964,237.16883116883298
4,4,32,1,"[[1, 4, 32, '242.6', '0.171', 2]]",0,214.07932877540588,204.1490315437317,-31.137970327991653,65.07400322804439,242.56666666666626
5,5,32,1,"[[1, 5, 32, '216.9', '0.203', 3]]",0,221.24250745773315,206.99794419606528,-25.745885315223397,69.52367926723316,216.8540636042406
6,6,32,1,"[[1, 6, 32, '354.3', '0.236', 0]]",0,315.4644572734833,222.49316034998213,16.82365903904634,104.74800266035092,354.28709677419033
7,7,32,1,"[[1, 7, 32, '352.8', '0.215', 1]]",0,269.4852809906006,228.36717543005943,7.19591763560614,96.23618366823095,352.8085106382965
8,8,32,1,"[[1, 8, 32, '576.1', '0.124', 0]]",0,273.95958852767944,233.43299910757275,-5.5411073551833026,128.9164038451415,576.1388888888785
9,9,32,1,"[[1, 9, 32, '340.2', '0.287', 1]]",0,309.67988872528076,241.05768806934356,35.72669347036984,122.24913294112146,340.1637010676143
10,10,32,1,"[[1, 10, 32, '270.2', '0.344', 2]]",0,461.52227997779846,274.3961220741272,35.19751981552087,112.35958545493192,270.23841059602955
11,11,32,1,"[[1, 11, 32, '429.8', '0.260', 3]]",0,378.8598301410675,294.378563952446,46.97372245229717,136.3339998174786,429.809523809516
12,12,32,1,"[[1, 12, 32, '247.0', '0.314', 4]]",0,313.5718891620636,301.6668367147446,17.024313039655805,97.34903157171682,246.95960264900512
13,13,32,1,"[[1, 13, 32, '390.0', '0.294', 5]]",0,357.67057824134827,311.5535629272461,52.40235789384622,126.41178743703664,390.0269841269808
14,14,32,1,"[[1, 14, 32, '308.1', '0.309', 6]]",0,320.9329574108124,322.23892579078677,34.18087481969048,114.42958169866446,308.07391304347544
15,15,32,1,"[[1, 15, 32, '407.8', '0.265', 7]]",0,403.63577485084534,340.47825253009796,46.41394353027562,129.31179868810582,407.8181818181745
16,16,32,1,"[[1, 16, 32, '424.8', '0.314', 8]]",0,477.1957015991211,356.65137696266174,72.9124883121619,128.9012350950611,424.7713310580135
