,Generation,Population_size,Num_species,"list_of_[ID,age,size,fitness,adj_fit,stag]",Total_extinctions,Generation_time,Average_time,Average_fitness,Stdev_fitness,Best_genome_fitness
0,0,100,18,"[[1, 0, 13, '-22.1', '0.164', 0], [2, 0, 16, '-60.9', '0.114', 0], [3, 0, 8, '-46.5', '0.193', 0], [4, 0, 5, '-79.3', '0.051', 0], [5, 0, 2, '-86.7', '0.015', 0], [6, 0, 10, '-76.9', '0.083', 0], [7, 0, 2, '-85.8', '0.017', 0], [8, 0, 12, '-43.4', '0.112', 0], [9, 0, 8, '-79.2', '0.089', 0], [10, 0, 3, '-87.6', '0.007', 0], [11, 0, 5, '-82.9', '0.074', 0], [12, 0, 9, '-64.3', '0.205', 0], [13, 0, 1, '--', '--', 0], [14, 0, 1, '--', '--', 0], [15, 0, 2, '--', '--', 0], [16, 0, 1, '--', '--', 0], [17, 0, 1, '--', '--', 0], [18, 0, 1, '--', '--', 0]]",0,299.5349998474121,299.5349998474121,-79.60645161209236,12.741514395643657,-22.104575163399545
1,1,100,22,"[[1, 1, 6, '34.9', '0.302', 0], [2, 1, 6, '-64.1', '0.056', 1], [3, 1, 11, '-25.6', '0.196', 0], [4, 1, 5, '-62.3', '0.080', 0], [5, 1, 4, '-87.3', '0.004', 1], [6, 1, 6, '-62.9', '0.093', 0], [7, 1, 2, '-83.6', '0.020', 0], [8, 1, 11, '37.3', '0.182', 0], [9, 1, 7, '-70.1', '0.063', 0], [10, 1, 2, '-49.3', '0.106', 0], [11, 1, 1, '-55.5', '0.086', 0], [12, 1, 6, '-62.4', '0.065', 0], [13, 1, 10, '-49.3', '0.309', 0], [14, 1, 6, '-61.2', '0.214', 0], [15, 1, 3, '-78.8', '0.059', 0], [16, 1, 4, '-70.8', '0.137', 0], [17, 1, 2, '-87.6', '0.003', 0], [18, 1, 4, '-72.2', '0.126', 0], [19, 0, 3, '--', '--', 0], [20, 0, 2, '--', '--', 0], [21, 0, 1, '--', '--', 0], [22, 0, 1, '--', '--', 0]]",0,352.9353811740875,326.2351905107498,-72.09967415024528,25.09581685411156,37.28686131386888
2,2,103,33,"[[1, 2, 6, '63.5', '0.250', 0], [2, 2, 5, '-41.1', '0.167', 0], [3, 2, 7, '-18.7', '0.117', 0], [4, 2, 3, '-15.2', '0.164', 0], [5, 2, 2, '-73.0', '0.029', 0], [6, 2, 4, '-63.1', '0.076', 1], [7, 2, 2, '-83.7', '0.018', 1], [8, 2, 10, '-3.5', '0.194', 1], [9, 2, 9, '68.2', '0.337', 0], [10, 2, 4, '-36.8', '0.169', 0], [11, 2, 2, '-80.0', '0.053', 1], [12, 2, 5, '-38.9', '0.130', 0], [13, 2, 8, '-34.4', '0.143', 0], [14, 2, 5, '-26.9', '0.147', 0], [15, 2, 1, '-78.2', '0.048', 0], [16, 2, 2, '-52.3', '0.074', 0], [17, 2, 2, '-87.1', '0.005', 0], [18, 2, 1, '-75.9', '0.051', 1], [19, 1, 2, '-80.9', '0.037', 0], [20, 1, 3, '-61.5', '0.089', 0], [21, 1, 2, '-84.4', '0.025', 0], [22, 1, 6, '-29.1', '0.378', 0], [23, 0, 1, '--', '--', 0], [24, 0, 2, '--', '--', 0], [25, 0, 1, '--', '--', 0], [26, 0, 1, '--', '--', 0], [27, 0, 1, '--', '--', 0], [28, 0, 1, '--', '--', 0], [29, 0, 1, '--', '--', 0], [30, 0, 1, '--', '--', 0], [31, 0, 1, '--', '--', 0], [32, 0, 3, '--', '--', 0], [33, 0, 1, '--', '--', 0]]",0,559.6484019756317,404.03959433237713,-66.16466999952176,28.49211873013783,68.16216216216122
3,3,105,33,"[[1, 3, 10, '93.4', '0.533', 0], [2, 3, 3, '-60.3', '0.092', 1], [3, 3, 5, '-2.9', '0.194', 0], [4, 3, 2, '-64.6', '0.084', 1], [5, 3, 3, '-22.2', '0.184', 0], [6, 3, 6, '-36.3', '0.129', 0], [7, 3, 2, '-84.2', '0.010', 2], [8, 3, 3, '25.4', '0.149', 2], [9, 3, 3, '-0.2', '0.084', 1], [10, 3, 3, '-60.0', '0.052', 1], [11, 3, 3, '-46.5', '0.116', 0], [12, 3, 3, '12.9', '0.241', 0], [13, 3, 6, '27.3', '0.178', 0], [14, 3, 5, '-41.5', '0.196', 1], [15, 3, 2, '-81.4', '0.035', 1], [16, 3, 1, '-55.9', '0.108', 1], [17, 3, 3, '-87.3', '0.003', 1], [18, 3, 2, '-76.4', '0.062', 2], [19, 2, 2, '-82.4', '0.026', 1], [20, 2, 3, '-45.5', '0.139', 0], [21, 2, 2, '-80.4', '0.031', 0], [22, 2, 5, '1.8', '0.218', 0], [23, 1, 2, '-76.6', '0.061', 0], [24, 1, 2, '-75.9', '0.057', 0], [25, 1, 4, '-75.9', '0.066', 0], [26, 1, 2, '-64.5', '0.128', 0], [27, 1, 2, '-86.4', '0.007', 0], [28, 1, 2, '-84.5', '0.018', 0], [29, 1, 2, '-86.3', '0.008', 0], [30, 1, 4, '-67.8', '0.110', 0], [31, 1, 2, '-62.2', '0.141', 0], [32, 1, 2, '-59.1', '0.062', 0], [33, 1, 3, '-84.2', '0.019', 0]]",0,493.3192057609558,426.3594971895218,-61.022231761913396,33.83205916511765,93.40000000000197
4,4,104,35,"[[1, 4, 7, '143.9', '0.215', 0], [2, 4, 4, '-49.5', '0.082', 2], [3, 4, 5, '-1.5', '0.183', 0], [4, 4, 3, '-61.0', '0.075', 2], [5, 4, 3, '-79.4', '0.013', 1], [6, 4, 5, '173.4', '0.240', 0], [7, 4, 3, '-52.0', '0.072', 0], [8, 4, 4, '-41.9', '0.108', 3], [9, 4, 4, '-22.2', '0.094', 2], [10, 4, 4, '-38.0', '0.133', 2], [11, 4, 2, '-59.6', '0.052', 1], [12, 4, 4, '-33.7', '0.129', 1], [13, 4, 1, '-74.2', '0.033', 1], [14, 4, 4, '4.5', '0.129', 0], [15, 4, 2, '-78.7', '0.030', 2], [16, 4, 2, '-69.8', '0.069', 2], [17, 4, 2, '-31.8', '0.074', 0], [18, 4, 2, '-76.2', '0.023', 3], [19, 3, 2, '-78.9', '0.025', 0], [20, 3, 4, '-54.0', '0.125', 1], [21, 3, 2, '-78.8', '0.024', 0], [22, 3, 4, '-51.3', '0.082', 1], [23, 2, 4, '-39.0', '0.142', 0], [24, 2, 2, '-79.8', '0.030', 1], [25, 2, 3, '-79.4', '0.029', 1], [26, 2, 3, '-82.9', '0.009', 1], [27, 2, 2, '-71.2', '0.039', 0], [28, 2, 2, '-86.3', '0.004', 1], [29, 2, 3, '-57.6', '0.060', 0], [30, 2, 3, '5.2', '0.177', 0], [31, 2, 4, '-51.1', '0.101', 0], [32, 2, 3, '-64.5', '0.055', 1], [33, 2, 2, '-77.3', '0.019', 0], [34, 0, 3, '--', '--', 0], [35, 0, 1, '--', '--', 0]]",0,548.8442287445068,450.8564435005188,-61.50584864537182,38.016845644012044,173.361111111112
5,5,108,39,"[[1, 5, 6, '-48.2', '0.096', 1], [2, 5, 5, '-34.9', '0.201', 0], [3, 5, 5, '-24.0', '0.237', 1], [4, 5, 2, '-67.7', '0.086', 3], [5, 5, 4, '53.5', '0.353', 0], [6, 5, 4, '61.6', '0.276', 1], [7, 5, 2, '-72.6', '0.048', 1], [8, 5, 5, '-37.8', '0.264', 4], [9, 5, 4, '-75.4', '0.029', 3], [10, 5, 5, '-38.4', '0.202', 3], [11, 5, 2, '-68.0', '0.086', 2], [12, 5, 4, '-48.8', '0.197', 2], [13, 5, 2, '-76.8', '0.076', 2], [14, 5, 2, '-54.7', '0.129', 1], [15, 5, 2, '-79.4', '0.057', 3], [16, 5, 3, '-68.2', '0.097', 3], [17, 5, 4, '-1.0', '0.295', 0], [18, 5, 2, '-77.8', '0.040', 4], [19, 4, 2, '-80.4', '0.050', 1], [20, 4, 3, '-55.8', '0.156', 2], [21, 4, 3, '-78.6', '0.036', 0], [22, 4, 3, '-59.4', '0.137', 2], [23, 3, 2, '-42.4', '0.152', 1], [24, 3, 3, '-72.0', '0.096', 0], [25, 3, 1, '-78.5', '0.061', 2], [26, 3, 1, '-78.1', '0.044', 2], [27, 3, 2, '-75.4', '0.060', 1], [28, 3, 2, '-83.1', '0.029', 0], [29, 3, 2, '-79.3', '0.035', 1], [30, 3, 2, '-53.3', '0.121', 1], [31, 3, 3, '-42.4', '0.245', 0], [32, 3, 2, '-61.3', '0.093', 2], [33, 3, 2, '-70.7', '0.069', 0], [34, 1, 5, '-30.2', '0.278', 0], [35, 1, 2, '-87.6', '0.004', 0], [36, 0, 3, '--', '--', 0], [37, 0, 1, '--', '--', 0], [38, 0, 1, '--', '--', 0], [39, 0, 1, '--', '--', 0]]",0,505.153014421463,459.90587198734283,-66.85766550712405,23.68300839575899,61.609342560554836
6,6,109,40,"[[1, 6, 3, '17.4', '0.271', 2], [2, 6, 6, '102.3', '0.361', 0], [3, 6, 5, '-7.0', '0.270', 2], [4, 6, 3, '-63.8', '0.102', 4], [5, 6, 3, '-25.0', '0.140', 1], [6, 6, 3, '-67.4', '0.056', 2], [7, 6, 2, '-72.7', '0.053', 2], [9, 6, 3, '-8.3', '0.138', 4], [10, 6, 5, '18.6', '0.326', 0], [11, 6, 3, '-39.2', '0.141', 0], [12, 6, 3, '-46.2', '0.187', 3], [13, 6, 2, '-71.9', '0.059', 3], [14, 6, 2, '-57.9', '0.108', 2], [15, 6, 2, '-78.6', '0.041', 4], [16, 6, 2, '-77.0', '0.049', 4], [17, 6, 3, '-44.5', '0.124', 1], [19, 5, 2, '-81.3', '0.031', 2], [20, 5, 3, '-28.2', '0.215', 0], [21, 5, 1, '-52.5', '0.084', 0], [22, 5, 2, '-59.4', '0.086', 3], [23, 4, 3, '-42.1', '0.148', 2], [24, 4, 2, '-71.7', '0.059', 0], [25, 4, 2, '-82.7', '0.028', 3], [26, 4, 2, '-73.7', '0.075', 3], [27, 4, 2, '-70.9', '0.048', 0], [28, 4, 2, '-82.8', '0.026', 0], [29, 4, 5, '-78.7', '0.047', 2], [30, 4, 2, '-73.4', '0.074', 2], [31, 4, 2, '35.7', '0.428', 0], [32, 4, 3, '-56.5', '0.152', 0], [33, 4, 2, '-84.2', '0.017', 1], [34, 2, 4, '3.0', '0.196', 0], [35, 2, 2, '-87.5', '0.002', 0], [36, 1, 4, '103.7', '0.452', 0], [37, 1, 4, '-47.8', '0.209', 0], [38, 1, 2, '-71.7', '0.085', 0], [39, 1, 2, '-83.6', '0.023', 0], [40, 0, 1, '--', '--', 0], [41, 0, 1, '--', '--', 0], [42, 0, 1, '--', '--', 0]]",0,634.7428276538849,484.882579939706,-56.893519369131646,34.62557773542088,103.67441860465243
7,7,106,40,"[[1, 7, 4, '-33.5', '0.196', 3], [2, 7, 6, '118.9', '0.396', 0], [3, 7, 4, '-18.9', '0.216', 3], [5, 7, 3, '35.4', '0.298', 2], [6, 7, 3, '6.0', '0.222', 3], [7, 7, 2, '-71.7', '0.049', 3], [10, 7, 3, '-25.5', '0.188', 1], [11, 7, 2, '-21.7', '0.142', 0], [12, 7, 4, '-9.9', '0.241', 4], [13, 7, 2, '-63.9', '0.078', 4], [14, 7, 3, '-63.0', '0.117', 3], [16, 7, 3, '-36.5', '0.149', 0], [17, 7, 4, '-23.7', '0.249', 2], [19, 6, 2, '-83.1', '0.022', 3], [20, 6, 2, '-48.3', '0.111', 1], [21, 6, 2, '-87.6', '0.001', 1], [22, 6, 2, '-39.9', '0.164', 4], [23, 5, 2, '-47.3', '0.083', 3], [24, 5, 2, '-60.3', '0.097', 0], [25, 5, 2, '-79.3', '0.038', 4], [26, 5, 3, '7.9', '0.240', 0], [27, 5, 2, '-71.4', '0.046', 1], [28, 5, 2, '-83.0', '0.016', 1], [29, 5, 5, '16.0', '0.169', 0], [30, 5, 2, '-60.0', '0.093', 3], [31, 5, 2, '19.5', '0.262', 1], [32, 5, 4, '-5.5', '0.173', 0], [33, 5, 2, '-83.4', '0.012', 2], [34, 3, 3, '-38.1', '0.144', 1], [35, 3, 2, '-86.6', '0.003', 0], [36, 2, 6, '76.4', '0.489', 1], [37, 2, 3, '-54.8', '0.073', 1], [38, 2, 2, '-63.6', '0.075', 0], [39, 2, 2, '-81.6', '0.024', 0], [40, 1, 2, '-57.1', '0.149', 0], [41, 1, 2, '-50.8', '0.179', 0], [42, 1, 2, '-75.9', '0.058', 0], [43, 0, 1, '--', '--', 0], [44, 0, 2, '--', '--', 0], [45, 0, 1, '--', '--', 0]]",0,682.905027627945,509.63538590073586,-53.868186716863704,38.37557492937193,118.89638989169916
8,8,107,38,"[[1, 8, 3, '-45.4', '0.055', 4], [2, 8, 6, '66.4', '0.133', 1], [3, 8, 5, '-12.6', '0.078', 4], [5, 8, 9, '505.3', '0.340', 0], [6, 8, 3, '-14.3', '0.063', 4], [7, 8, 2, '-73.7', '0.016', 4], [10, 8, 4, '-33.6', '0.069', 2], [11, 8, 2, '-78.7', '0.016', 1], [14, 8, 2, '-31.1', '0.052', 4], [16, 8, 2, '-42.2', '0.034', 1], [17, 8, 2, '-38.7', '0.058', 3], [19, 7, 2, '-77.7', '0.017', 0], [20, 7, 3, '-34.6', '0.062', 2], [21, 7, 2, '-78.8', '0.015', 2], [23, 6, 3, '-39.8', '0.071', 4], [24, 6, 2, '-76.6', '0.020', 1], [26, 6, 2, '-38.1', '0.032', 1], [27, 6, 2, '-72.7', '0.018', 2], [28, 6, 2, '-82.9', '0.009', 2], [29, 6, 5, '49.3', '0.055', 0], [30, 6, 3, '-54.2', '0.039', 4], [31, 6, 3, '19.2', '0.092', 2], [32, 6, 3, '-57.1', '0.026', 1], [33, 6, 2, '-84.6', '0.004', 3], [34, 4, 2, '-38.6', '0.050', 2], [35, 4, 2, '-86.9', '0.003', 1], [36, 3, 2, '58.1', '0.101', 2], [37, 3, 2, '-76.0', '0.018', 2], [38, 3, 2, '-80.3', '0.013', 1], [39, 3, 2, '-84.1', '0.007', 1], [40, 2, 4, '-54.9', '0.038', 0], [41, 2, 3, '-33.5', '0.083', 0], [42, 2, 2, '-69.4', '0.029', 0], [43, 1, 2, '-86.6', '0.003', 0], [44, 1, 4, '-39.9', '0.042', 0], [45, 1, 2, '-87.5', '0.002', 0], [46, 0, 3, '--', '--', 0], [47, 0, 1, '--', '--', 0]]",0,628.8861637115479,522.8854723241594,-54.45165858182618,63.10804916628051,505.2509363295786
9,9,107,33,"[[2, 9, 8, '96.5', '0.287', 2], [3, 9, 4, '24.2', '0.144', 0], [5, 9, 7, '135.6', '0.163', 1], [10, 9, 3, '-19.9', '0.112', 3], [11, 9, 1, '-24.8', '0.111', 2], [16, 9, 3, '-38.1', '0.091', 2], [17, 9, 3, '-43.7', '0.078', 4], [19, 8, 2, '-78.2', '0.019', 1], [20, 8, 2, '-40.3', '0.093', 3], [21, 8, 2, '-80.9', '0.010', 3], [24, 7, 2, '-77.3', '0.026', 2], [26, 7, 3, '-40.1', '0.090', 2], [27, 7, 2, '-73.9', '0.028', 3], [28, 7, 2, '-53.1', '0.059', 0], [29, 7, 4, '-0.4', '0.095', 1], [31, 7, 4, '13.8', '0.126', 3], [32, 7, 2, '-60.7', '0.058', 2], [33, 7, 2, '-83.9', '0.006', 4], [34, 5, 3, '-60.8', '0.072', 3], [35, 5, 2, '-86.3', '0.004', 0], [36, 4, 10, '240.3', '0.598', 0], [37, 4, 2, '-69.8', '0.046', 3], [38, 4, 2, '-77.3', '0.028', 2], [39, 4, 2, '-82.9', '0.013', 2], [40, 3, 3, '-54.5', '0.052', 0], [41, 3, 5, '-12.7', '0.206', 0], [42, 3, 2, '-72.4', '0.025', 1], [43, 2, 2, '-84.1', '0.011', 0], [44, 2, 3, '-36.4', '0.099', 0], [45, 2, 2, '-86.5', '0.002', 0], [46, 1, 6, '82.1', '0.283', 0], [47, 1, 3, '-44.6', '0.131', 0], [48, 0, 2, '--', '--', 0]]",0,715.0909521579742,542.1060203075409,-50.61361322173536,50.33202452320681,240.25582822085897
