,Generation,Population_size,Num_species,"list_of_[ID,age,size,fitness,adj_fit,stag]",Total_extinctions,Generation_time,Average_time,Average_fitness,Stdev_fitness,Best_genome_fitness
0,0,100,1,"[[1, 0, 100, '-21.2', '0.123', 0]]",0,104.63359570503235,104.63359570503235,-80.49049713821167,12.015649806897384,-21.213702623906748
1,1,100,1,"[[1, 1, 100, '60.9', '0.100', 0]]",0,156.1697714328766,130.40168356895447,-73.13783758282426,20.482957417900025,60.882154882153955
2,2,100,1,"[[1, 2, 100, '49.7', '0.119', 1]]",0,215.02652168273926,158.60996294021606,-71.85812336793903,22.80588637045647,49.650000000000986
3,3,100,1,"[[1, 3, 100, '268.8', '0.085', 0]]",0,241.09909105300903,179.2322449684143,-57.501403944410534,45.25218875321783,268.83436293436415
4,4,100,1,"[[1, 4, 100, '214.4', '0.117', 1]]",0,346.94350004196167,212.77449598312378,-52.4861952002348,51.90665719537004,214.44155844155995
5,5,100,1,"[[1, 5, 100, '342.0', '0.109', 0]]",0,333.20760846138,232.84668139616647,-40.87623871754102,70.0487779583794,341.99022556390713
6,6,100,1,"[[1, 6, 100, '574.0', '0.126', 0]]",0,403.75262475013733,257.26181616101945,-4.620038867750778,115.3631655269523,573.9672268907491
7,7,100,1,"[[1, 7, 100, '449.9', '0.186', 1]]",0,472.69027948379517,284.1903740763664,12.34586186545248,120.92924382945871,449.8596491227993
8,8,100,1,"[[1, 8, 100, '599.1', '0.157', 0]]",0,539.1343321800232,312.5174805323283,19.876988417776996,130.9818370341358,599.1407942238183
9,9,100,1,"[[1, 9, 100, '583.7', '0.162', 1]]",0,459.546418428421,327.2203743219376,20.991034045045794,139.15731744876052,583.6556776556691
10,10,100,1,"[[1, 10, 100, '621.4', '0.233', 0]]",0,562.9692015647888,373.05393490791323,77.0385353475921,174.87805250033009,621.4150197628381
11,11,100,1,"[[1, 11, 100, '618.2', '0.277', 1]]",0,620.3959774971008,419.47655551433564,108.08001044364994,188.53971274140838,618.2302158273267
12,12,100,1,"[[1, 12, 100, '680.6', '0.261', 0]]",0,689.5705142021179,466.9309547662735,113.2421867925726,179.09907363856277,680.6478873239311
13,13,100,--,[],--,--,--,118.81,197.61,841.74
