,Generation,Population_size,Num_species,"list_of_[ID,age,size,fitness,adj_fit,stag]",Total_extinctions,Generation_time,Average_time,Average_fitness,Stdev_fitness,Best_genome_fitness
0,0,100,21,"[[1, 0, 18, '22.0', '0.201', 0], [2, 0, 6, '-77.7', '0.025', 0], [3, 0, 14, '-72.2', '0.042', 0], [4, 0, 9, '-72.5', '0.059', 0], [5, 0, 4, '-73.8', '0.062', 0], [6, 0, 4, '-84.8', '0.017', 0], [7, 0, 6, '-84.2', '0.012', 0], [8, 0, 8, '-57.1', '0.119', 0], [9, 0, 5, '-60.5', '0.099', 0], [10, 0, 2, '-87.5', '0.006', 0], [11, 0, 10, '-67.6', '0.081', 0], [12, 0, 4, '-79.9', '0.043', 0], [13, 0, 1, '--', '--', 0], [14, 0, 1, '--', '--', 0], [15, 0, 1, '--', '--', 0], [16, 0, 1, '--', '--', 0], [17, 0, 2, '--', '--', 0], [18, 0, 1, '--', '--', 0], [19, 0, 1, '--', '--', 0], [20, 0, 1, '--', '--', 0], [21, 0, 1, '--', '--', 0]]",0,302.32923340797424,302.32923340797424,-79.64779024541694,15.43950703064706,21.987460815045765
1,1,100,23,"[[1, 1, 11, '201.5', '0.217', 0], [2, 1, 5, '-81.7', '0.013', 1], [3, 1, 7, '-35.5', '0.045', 0], [4, 1, 7, '-46.0', '0.048', 0], [5, 1, 3, '-52.1', '0.055', 0], [6, 1, 3, '-81.6', '0.011', 0], [7, 1, 7, '-0.2', '0.065', 0], [8, 1, 7, '-33.4', '0.056', 0], [9, 1, 6, '141.7', '0.197', 0], [10, 1, 2, '-87.4', '0.003', 0], [11, 1, 8, '-53.8', '0.050', 0], [12, 1, 4, '-80.1', '0.014', 1], [13, 1, 2, '-87.7', '0.002', 0], [14, 1, 2, '-73.3', '0.052', 0], [15, 1, 2, '-83.2', '0.018', 0], [16, 1, 2, '-79.6', '0.030', 0], [17, 1, 8, '156.9', '0.428', 0], [18, 1, 2, '-87.1', '0.004', 0], [19, 1, 4, '-55.6', '0.113', 0], [20, 1, 4, '-65.2', '0.080', 0], [21, 1, 6, '-35.8', '0.181', 0], [22, 0, 1, '--', '--', 0], [23, 0, 1, '--', '--', 0]]",0,569.5027554035187,435.91599440574646,-62.142527004624036,50.85347190309288,201.532646048114
2,2,104,27,"[[1, 2, 7, '228.2', '0.270', 0], [2, 2, 2, '69.5', '0.081', 0], [3, 2, 5, '-54.2', '0.044', 1], [4, 2, 5, '-52.3', '0.030', 1], [5, 2, 2, '-57.6', '0.035', 1], [6, 2, 2, '-86.6', '0.002', 1], [7, 2, 5, '-5.2', '0.085', 1], [8, 2, 1, '-14.6', '0.076', 0], [9, 2, 10, '159.5', '0.248', 0], [10, 2, 2, '-85.4', '0.003', 0], [11, 2, 4, '31.4', '0.059', 0], [12, 2, 6, '-78.1', '0.007', 0], [13, 2, 2, '-87.4', '0.001', 0], [14, 2, 2, '-77.4', '0.018', 1], [15, 2, 2, '-75.6', '0.015', 0], [16, 2, 2, '-78.8', '0.018', 0], [17, 2, 10, '395.7', '0.247', 0], [18, 2, 2, '-67.7', '0.021', 0], [19, 2, 3, '-16.0', '0.062', 0], [20, 2, 3, '-41.5', '0.039', 0], [21, 2, 2, '29.6', '0.095', 0], [22, 1, 2, '-86.5', '0.003', 0], [23, 1, 8, '30.9', '0.246', 0], [24, 0, 2, '--', '--', 0], [25, 0, 6, '--', '--', 0], [26, 0, 3, '--', '--', 0], [27, 0, 3, '--', '--', 0]]",0,704.1318790912628,525.3212893009186,-39.40081738379119,82.30993511243955,395.65517241378643
3,3,103,28,"[[1, 3, 9, '56.8', '0.113', 1], [2, 3, 3, '-0.2', '0.093', 1], [3, 3, 4, '-33.3', '0.073', 0], [4, 3, 3, '-24.3', '0.029', 0], [5, 3, 3, '-38.0', '0.056', 0], [6, 3, 2, '-86.7', '0.001', 2], [7, 3, 4, '-53.4', '0.043', 2], [8, 3, 2, '-50.2', '0.066', 1], [9, 3, 10, '486.1', '0.273', 0], [10, 3, 2, '-86.9', '0.002', 1], [11, 3, 6, '50.8', '0.135', 0], [12, 3, 5, '212.9', '0.172', 0], [13, 3, 2, '-86.7', '0.002', 0], [14, 3, 2, '-76.0', '0.016', 2], [15, 3, 2, '-77.1', '0.011', 1], [16, 3, 2, '-73.7', '0.016', 0], [17, 3, 8, '238.2', '0.150', 1], [18, 3, 2, '-87.6', '0.001', 1], [19, 3, 2, '-48.9', '0.051', 1], [20, 3, 2, '-84.6', '0.002', 1], [21, 3, 4, '1.5', '0.123', 1], [22, 2, 2, '-86.9', '0.002', 1], [23, 2, 8, '321.1', '0.173', 0], [24, 1, 2, '-52.6', '0.037', 0], [25, 1, 3, '233.8', '0.174', 0], [26, 1, 4, '10.9', '0.089', 0], [27, 1, 2, '-77.4', '0.016', 0], [28, 0, 3, '--', '--', 0]]",0,683.7896504402161,564.938379585743,-26.600592612810203,99.79014840476114,486.07117437721615
4,4,103,31,"[[1, 4, 2, '-37.4', '0.046', 2], [2, 4, 2, '-39.6', '0.082', 2], [3, 4, 5, '-25.3', '0.141', 0], [4, 4, 2, '-65.8', '0.055', 1], [5, 4, 2, '-15.8', '0.098', 0], [6, 4, 2, '-85.0', '0.006', 3], [7, 4, 3, '-49.8', '0.066', 3], [8, 4, 3, '-46.3', '0.091', 2], [9, 4, 11, '206.2', '0.541', 1], [10, 4, 3, '-87.4', '0.002', 2], [11, 4, 5, '2.2', '0.107', 1], [12, 4, 11, '168.5', '0.653', 1], [13, 4, 2, '-86.3', '0.004', 0], [14, 4, 2, '-79.8', '0.027', 3], [15, 4, 2, '-84.1', '0.010', 2], [16, 4, 2, '-77.0', '0.030', 1], [17, 4, 6, '221.1', '0.361', 2], [18, 4, 2, '-86.3', '0.005', 2], [19, 4, 2, '-33.1', '0.139', 2], [20, 4, 4, '14.8', '0.207', 0], [21, 4, 4, '102.4', '0.185', 0], [22, 3, 2, '-87.1', '0.003', 2], [23, 3, 5, '-11.0', '0.150', 1], [24, 2, 2, '-55.0', '0.066', 1], [25, 2, 5, '-69.4', '0.039', 1], [26, 2, 4, '-24.3', '0.161', 1], [27, 2, 2, '-60.7', '0.060', 0], [28, 1, 2, '3.3', '0.156', 0], [29, 0, 5, '--', '--', 0], [30, 0, 1, '--', '--', 0], [31, 0, 1, '--', '--', 0]]",0,650.4480662345886,582.0403169155121,-32.33810860254173,74.34786791800498,221.06849315068843
5,5,106,34,"[[1, 5, 4, '2.7', '0.170', 3], [2, 5, 2, '-58.4', '0.057', 3], [3, 5, 6, '307.4', '0.285', 0], [4, 5, 2, '-64.2', '0.040', 2], [5, 5, 3, '-32.3', '0.090', 1], [6, 5, 2, '-84.1', '0.005', 4], [7, 5, 2, '-65.2', '0.039', 4], [8, 5, 2, '-57.3', '0.054', 3], [9, 5, 7, '297.2', '0.226', 2], [10, 5, 2, '-8.8', '0.071', 0], [11, 5, 4, '0.1', '0.098', 2], [12, 5, 8, '191.2', '0.237', 2], [13, 5, 2, '-87.3', '0.001', 1], [14, 5, 2, '-77.1', '0.024', 4], [15, 5, 2, '-80.9', '0.009', 3], [16, 5, 2, '-76.4', '0.024', 2], [17, 5, 3, '45.5', '0.123', 3], [18, 5, 2, '-87.1', '0.001', 3], [19, 5, 3, '-42.9', '0.094', 3], [20, 5, 3, '-30.3', '0.071', 1], [21, 5, 4, '94.1', '0.188', 1], [22, 4, 2, '-87.2', '0.001', 3], [23, 4, 5, '40.4', '0.161', 2], [24, 3, 2, '-59.0', '0.046', 2], [25, 3, 2, '-70.2', '0.024', 2], [26, 3, 2, '61.3', '0.146', 0], [27, 3, 3, '-42.7', '0.104', 0], [28, 2, 3, '-29.8', '0.123', 1], [29, 1, 8, '140.7', '0.410', 0], [30, 1, 4, '-80.7', '0.018', 0], [31, 1, 4, '-4.4', '0.211', 0], [32, 0, 1, '--', '--', 0], [33, 0, 1, '--', '--', 0], [34, 0, 1, '--', '--', 0]]",0,714.8436386585236,604.1742038726807,-33.11885482087254,73.74361161431035,307.384083044971
6,6,105,32,"[[1, 6, 3, '-4.4', '0.096', 4], [2, 6, 3, '-18.0', '0.130', 4], [3, 6, 4, '20.4', '0.085', 1], [4, 6, 2, '-52.8', '0.070', 3], [5, 6, 2, '-37.2', '0.077', 2], [8, 6, 3, '-43.1', '0.104', 4], [9, 6, 6, '156.8', '0.207', 3], [10, 6, 2, '-86.9', '0.003', 1], [11, 6, 3, '-1.4', '0.103', 3], [12, 6, 8, '190.7', '0.333', 3], [13, 6, 2, '-87.2', '0.001', 2], [15, 6, 2, '-76.9', '0.016', 4], [16, 6, 2, '-75.6', '0.019', 3], [17, 6, 5, '166.3', '0.288', 4], [18, 6, 2, '-74.2', '0.021', 4], [19, 6, 2, '-39.8', '0.114', 4], [20, 6, 2, '-28.6', '0.116', 2], [21, 6, 6, '25.5', '0.224', 2], [22, 5, 2, '-86.8', '0.003', 4], [23, 5, 4, '259.3', '0.426', 3], [24, 4, 2, '-50.8', '0.064', 0], [25, 4, 2, '-71.7', '0.037', 3], [26, 4, 3, '-44.5', '0.091', 1], [27, 4, 2, '-75.8', '0.025', 1], [28, 3, 4, '14.6', '0.147', 0], [29, 2, 6, '61.2', '0.181', 1], [30, 2, 3, '-31.0', '0.056', 0], [31, 2, 4, '40.2', '0.168', 0], [32, 1, 2, '-83.5', '0.013', 0], [33, 1, 2, '-87.7', '0.001', 0], [34, 1, 8, '135.8', '0.644', 0], [35, 0, 3, '--', '--', 0]]",0,702.3584468364716,618.2005242960794,-38.49385956747272,67.13099751881373,259.31230283911043
7,7,106,28,"[[3, 7, 5, '178.9', '0.169', 2], [4, 7, 3, '-17.9', '0.075', 0], [5, 7, 2, '-74.7', '0.023', 3], [9, 7, 5, '116.3', '0.078', 4], [10, 7, 2, '-42.3', '0.045', 2], [11, 7, 4, '51.9', '0.122', 0], [12, 7, 7, '200.8', '0.183', 4], [13, 7, 2, '-87.1', '0.001', 3], [16, 7, 2, '-79.7', '0.014', 4], [20, 7, 3, '-29.3', '0.056', 3], [21, 7, 4, '28.0', '0.080', 3], [23, 6, 8, '462.0', '0.359', 0], [24, 5, 2, '-56.7', '0.035', 1], [25, 5, 2, '-70.7', '0.030', 4], [26, 5, 2, '-7.1', '0.068', 2], [27, 5, 3, '34.0', '0.121', 0], [28, 4, 3, '-11.1', '0.081', 1], [29, 3, 5, '148.5', '0.225', 0], [30, 3, 2, '-38.5', '0.039', 1], [31, 3, 3, '3.4', '0.086', 1], [32, 2, 3, '-31.1', '0.052', 0], [33, 2, 2, '-83.0', '0.005', 0], [34, 2, 11, '358.2', '0.316', 0], [35, 1, 3, '217.5', '0.269', 0], [36, 0, 2, '--', '--', 0], [37, 0, 4, '--', '--', 0], [38, 0, 1, '--', '--', 0], [39, 0, 1, '--', '--', 0]]",0,810.4139127731323,642.227197855711,-14.942562583517265,100.69067468161599,461.97014925372207
8,8,96,29,"[[3, 8, 6, '336.5', '0.202', 0], [4, 8, 2, '-69.3', '0.025', 1], [5, 8, 2, '-68.0', '0.030', 4], [10, 8, 3, '-33.9', '0.053', 3], [11, 8, 3, '-22.7', '0.054', 1], [13, 8, 2, '-87.0', '0.002', 4], [16, 8, 2, '-73.4', '0.021', 0], [20, 8, 2, '-67.0', '0.016', 4], [21, 8, 5, '21.4', '0.089', 4], [23, 7, 6, '43.4', '0.094', 1], [24, 6, 2, '-59.1', '0.035', 2], [26, 6, 4, '-14.4', '0.116', 3], [27, 6, 2, '-67.3', '0.016', 1], [28, 5, 3, '-3.7', '0.098', 2], [29, 4, 6, '72.0', '0.121', 1], [30, 4, 3, '-45.1', '0.053', 2], [31, 4, 4, '17.4', '0.090', 2], [32, 3, 2, '-82.9', '0.004', 1], [33, 3, 2, '-84.2', '0.005', 1], [34, 3, 4, '466.4', '0.268', 0], [35, 2, 4, '-0.3', '0.111', 1], [36, 1, 5, '93.9', '0.166', 0], [37, 1, 9, '394.0', '0.314', 0], [38, 1, 3, '-23.1', '0.118', 0], [39, 1, 2, '-55.9', '0.058', 0], [40, 0, 1, '--', '--', 0], [41, 0, 1, '--', '--', 0], [42, 0, 3, '--', '--', 0], [43, 0, 5, '--', '--', 0]]",0,733.7826459407806,652.4000254207187,-22.64451383765504,100.93624660623976,466.4026845637524
9,9,98,25,"[[3, 9, 5, '220.2', '0.119', 1], [4, 9, 2, '-52.8', '0.028', 2], [10, 9, 2, '-48.2', '0.019', 4], [11, 9, 4, '16.1', '0.082', 2], [16, 9, 2, '-75.3', '0.013', 1], [23, 8, 8, '246.4', '0.199', 2], [24, 7, 2, '-65.8', '0.018', 3], [26, 7, 3, '-6.7', '0.038', 4], [27, 7, 3, '-18.6', '0.053', 2], [28, 6, 2, '-16.0', '0.049', 3], [29, 5, 9, '190.1', '0.241', 0], [30, 5, 2, '-53.9', '0.022', 3], [31, 5, 3, '9.1', '0.054', 3], [32, 4, 3, '-24.2', '0.043', 0], [33, 4, 2, '-84.6', '0.002', 2], [34, 4, 1, '512.2', '0.231', 0], [35, 3, 3, '-25.5', '0.033', 2], [36, 2, 3, '33.7', '0.034', 1], [37, 2, 8, '340.6', '0.149', 1], [38, 2, 4, '28.6', '0.096', 0], [39, 2, 2, '-60.9', '0.029', 1], [40, 1, 2, '-30.3', '0.077', 0], [41, 1, 2, '-87.2', '0.001', 0], [42, 1, 14, '656.8', '0.415', 0], [43, 1, 7, '127.8', '0.080', 0]]",0,724.1523163318634,659.5752545118332,-14.856781298128569,121.6828996250709,656.8417508417376
