,Generation,Population_size,Num_species,"list_of_[ID,age,size,fitness,adj_fit,stag]",Total_extinctions,Generation_time,Average_time,Average_fitness,Stdev_fitness,Best_genome_fitness
0,0,100,1,"[[1, 0, 100, '10.5', '0.101', 0]]",0,116.84900045394897,116.84900045394897,-77.9351753529361,17.447446705645522,10.475163398693368
1,1,100,1,"[[1, 1, 100, '382.9', '0.048', 0]]",0,181.8470582962036,149.3480293750763,-65.55920378917655,49.85495940451431,382.9318021201369
2,2,100,1,"[[1, 2, 100, '256.1', '0.083', 1]]",0,216.41013050079346,171.70206308364868,-59.31953375173442,41.563012228352015,256.0683501683505
3,3,100,1,"[[1, 3, 100, '439.3', '0.067', 0]]",0,307.4808933734894,205.64677065610886,-52.838554015458584,62.11665401730864,439.33333333332706
4,4,100,1,"[[1, 4, 100, '590.2', '0.061', 0]]",0,290.35322284698486,222.58806109428406,-46.24828921674189,82.54237028169084,590.210526315774
5,5,100,1,"[[1, 5, 100, '412.8', '0.100', 1]]",0,336.69077587127686,241.60518022378287,-38.08410198813519,78.59953915802845,412.8493150684805
6,6,100,1,"[[1, 6, 100, '347.0', '0.141', 2]]",0,357.62611413002014,258.17959935324535,-27.159744233391624,79.99709839125349,346.97744107743324
7,7,100,1,"[[1, 7, 100, '522.3', '0.122', 3]]",0,396.3899600505829,275.4558944404125,-12.753195264811295,106.19915962704567,522.3383561643748
8,8,100,1,"[[1, 8, 100, '340.1', '0.191', 4]]",0,400.48236894607544,289.34772494104175,-5.956586195206339,107.96211740054002,340.0836012861656
9,9,100,1,"[[1, 9, 100, '506.8', '0.154', 5]]",0,416.58035945892334,302.0709883928299,3.6245561661115344,124.58261206293072,506.7751937984417
10,10,100,1,"[[1, 10, 100, '507.4', '0.231', 6]]",0,560.579222202301,346.4440105676651,49.433161734991025,148.24617327786476,507.3745704467261
11,11,100,1,"[[1, 11, 100, '438.0', '0.200', 7]]",0,473.64769101142883,375.62407383918764,17.228981963704868,129.97384817069516,437.98653198652175
12,12,100,1,"[[1, 12, 100, '469.6', '0.202', 8]]",0,484.7779676914215,402.46085755825044,24.5445774124262,133.1202120233874,469.6363636363543
13,13,100,1,"[[1, 13, 100, '659.4', '0.171', 0]]",0,499.4263527393341,421.6554034948349,39.49098210821578,167.76487159093455,659.4246575342352
14,14,100,1,"[[1, 14, 100, '478.9', '0.271', 1]]",0,502.6228084564209,442.8823620557785,65.29042153836473,160.85630507231843,478.91666666665805
15,15,100,1,"[[1, 15, 100, '576.7', '0.249', 2]]",0,601.6292293071747,469.3762073993683,77.62684197461402,161.79881855351837,576.6827309236843
16,16,100,1,"[[1, 16, 100, '678.9', '0.185', 0]]",0,509.1048436164856,484.5240803480148,54.056432455801776,151.92781529570485,678.8937728937624
17,17,100,1,"[[1, 17, 100, '446.2', '0.275', 1]]",0,654.7980408668518,510.3648884296417,58.896908344016516,141.0815807492743,446.1929260450105
18,18,100,1,"[[1, 18, 100, '686.1', '0.208', 0]]",0,616.4368250370026,531.9603340387345,73.4118480344199,151.2517627919761,686.0687285223229
19,19,100,1,"[[1, 19, 100, '567.9', '0.256', 1]]",0,653.0685880184174,555.6091568946838,79.58535370831493,161.64559240029925,567.9217081850423
20,20,100,1,"[[1, 20, 100, '697.5', '0.272', 0]]",0,724.0759150981903,571.9588261842728,126.14073308266592,164.08478339573358,697.4893617021175
21,21,100,1,"[[1, 21, 100, '557.2', '0.296', 1]]",0,689.5400803089142,593.5480651140213,103.64260662095644,163.89103578750408,557.245551601412
22,22,100,1,"[[1, 22, 100, '719.6', '0.245', 0]]",0,653.1814379692078,610.3884121417999,110.51723030939267,176.51538766362276,719.5593220338857
23,23,100,1,"[[1, 23, 100, '733.2', '0.206', 0]]",0,551.4730708599091,615.5930839538574,81.34226008326718,184.56997994663197,733.2058823529256
24,24,100,1,"[[1, 24, 100, '644.6', '0.234', 1]]",0,586.9842548370361,624.0292285919189,83.91423643227418,174.88255208128794,644.6363636363517
25,25,100,1,"[[1, 25, 100, '607.0', '0.248', 2]]",0,588.7546942234039,622.7417750835418,84.68379896727714,181.88191661229237,607.0309278350401
26,26,100,1,"[[1, 26, 100, '614.5', '0.299', 3]]",0,638.639612197876,635.6952519416809,122.08573932982016,198.67183917245256,614.4745762711746
27,27,100,1,"[[1, 27, 100, '673.7', '0.239', 4]]",0,614.2467894554138,631.6401268005371,94.12296737720102,184.9173137420339,673.7165354330585
28,28,100,1,"[[1, 28, 100, '643.2', '0.309', 5]]",0,643.7484359741211,634.371287894249,137.7192028107405,204.179823694468,643.2262773722509
29,29,100,1,"[[1, 29, 100, '667.4', '0.254', 6]]",0,672.2082238197327,636.2852514743805,104.81779870281518,163.14093930449104,667.403508771915
30,30,100,1,"[[1, 30, 100, '627.6', '0.249', 7]]",0,677.586464881897,631.6363064527511,90.89007625574041,177.31003222331137,627.6117216117111
31,31,100,1,"[[1, 31, 100, '514.3', '0.317', 8]]",0,662.0511090755463,628.8874093294144,103.14877163668602,178.22303756598401,514.2802547770558
32,32,100,1,"[[1, 32, 100, '684.2', '0.230', 9]]",0,586.3645460605621,622.2057201385499,89.56397470553087,182.48652519973646,684.2258064516012
33,33,100,1,"[[1, 33, 100, '608.1', '0.279', 10]]",0,631.6912369728088,630.2275367498398,107.08512687006265,180.37878335696664,608.0547945205358
34,34,100,1,"[[1, 34, 100, '529.4', '0.252', 11]]",0,554.1686160564423,626.9459728717804,68.40883157131667,145.55482499362444,529.3766233766161
35,35,100,1,"[[1, 35, 100, '594.9', '0.284', 12]]",0,637.431943655014,631.8136978149414,106.51305079304149,192.1174058547415,594.8888888888769
36,36,100,1,"[[1, 36, 100, '598.3', '0.278', 13]]",0,672.1550657749176,635.1652431726455,103.17781481270417,172.29729300945638,598.3076923076823
