,Generation,Population_size,Num_species,"list_of_[ID,age,size,fitness,adj_fit,stag]",Total_extinctions,Generation_time,Average_time,Average_fitness,Stdev_fitness,Best_genome_fitness
0,0,32,1,"[[1, 0, 32, '-54.8', '0.137', 0]]",0,111.37023735046387,111.37023735046387,-83.42157930649151,6.088136254267575,-54.75573770491806
1,1,32,1,"[[1, 1, 32, '-15.2', '0.168', 0]]",0,101.49253702163696,106.43138718605042,-75.37764730955672,13.86432258529413,-15.246953405017905
2,2,32,1,"[[1, 2, 32, '55.7', '0.169', 0]]",0,127.14693093299866,113.33656843503316,-63.3711778697974,33.592685120910936,55.737133550489744
3,3,32,1,"[[1, 3, 32, '338.9', '0.110', 0]]",0,120.61024737358093,115.1549881696701,-40.911749515287944,78.0200371866215,338.8896907216449
4,4,32,1,"[[1, 4, 32, '110.9', '0.273', 1]]",0,165.40667629241943,125.20532579421997,-33.4222060634834,50.64145977194103,110.93597122302451
5,5,32,1,"[[1, 5, 32, '163.6', '0.271', 2]]",0,223.44436597824097,141.57849915822348,-19.798178855847013,67.02825460921507,163.63195876288836
6,6,32,1,"[[1, 6, 32, '61.1', '0.401', 3]]",0,192.48869562149048,148.8513843672616,-28.097500612343417,42.59107973020449,61.13465703971201
7,7,32,1,"[[1, 7, 32, '253.1', '0.155', 4]]",0,209.84205150604248,156.47521775960922,-35.026639755287746,69.78671543516603,253.1222222222235
8,8,32,1,"[[1, 8, 32, '19.7', '0.305', 5]]",0,141.84806156158447,154.8499781820509,-55.14277055264999,33.83502271684379,19.693103448275913
9,9,32,1,"[[1, 9, 32, '132.8', '0.245', 6]]",0,213.53405594825745,160.71838595867158,-33.9967456362957,52.283653640220166,132.80412371134219
10,10,32,1,"[[1, 10, 32, '420.4', '0.148', 0]]",0,211.9804825782776,170.77941048145294,-12.204200868630974,95.40933407894752,420.3927536231837
11,11,32,1,"[[1, 11, 32, '164.5', '0.242', 1]]",0,226.02506613731384,183.23266339302063,-26.705584629491803,73.13098942179661,164.5206896551729
12,12,32,1,"[[1, 12, 32, '521.4', '0.176', 0]]",0,298.6925165653229,200.38722195625306,20.44874494738546,154.7287028195577,521.3846153846089
13,13,32,1,"[[1, 13, 32, '409.5', '0.203', 1]]",0,319.61249113082886,220.28744633197783,13.337290029814044,125.90628077315317,409.4722222222164
14,14,32,1,"[[1, 14, 32, '449.9', '0.174', 2]]",0,325.3880019187927,236.28557889461518,9.4049307231094,114.37134023953291,449.8596491227978
15,15,32,1,"[[1, 15, 32, '505.3', '0.244', 3]]",0,387.5242326259613,252.6935655593872,62.29150832773801,144.69611447017755,505.2907801418347
16,16,32,1,"[[1, 16, 32, '490.7', '0.225', 4]]",0,315.1586811542511,264.9605641126633,42.07166912853274,141.63309809711131,490.7176079734135
17,17,32,1,"[[1, 17, 32, '347.7', '0.177', 5]]",0,366.0132315158844,280.5776821136475,-10.2404170971166,100.42318137167591,347.6808219178051
18,18,32,1,"[[1, 18, 32, '476.4', '0.160', 6]]",0,346.05378770828247,300.99825472831725,2.5041674015102866,114.40623663712697,476.4225352112616
19,19,32,1,"[[1, 19, 32, '500.1', '0.208', 7]]",0,299.8386836051941,309.6287174940109,34.128566760492596,129.90015865932622,500.05940594058745
20,20,32,1,"[[1, 20, 32, '411.7', '0.351', 8]]",0,368.89999890327454,325.3206691265106,87.27918768934681,162.9402000821441,411.70342205322265
21,21,32,1,"[[1, 21, 32, '540.2', '0.376', 0]]",0,444.11743450164795,347.129905962944,148.83936619206605,185.46432955562184,540.241245136178
22,22,32,1,"[[1, 22, 32, '755.7', '0.226', 0]]",0,447.9114680290222,362.05180110931394,103.01339002032303,187.37172917061517,755.6503496503367
23,23,32,1,"[[1, 23, 32, '544.1', '0.324', 1]]",0,423.37330389022827,372.4278823852539,117.50314615298302,204.0890453338662,544.1322957198346
24,24,32,1,"[[1, 24, 32, '583.0', '0.422', 2]]",0,461.0130515098572,385.99038734436033,195.3417251333462,233.20533063088425,583.0428015564123
25,25,32,1,"[[1, 25, 32, '464.4', '0.366', 3]]",0,447.8713731765747,392.0251013994217,114.79809485413801,166.4688893848549,464.3941605839344
26,26,32,1,"[[1, 26, 32, '483.2', '0.339', 4]]",0,459.3920621871948,406.44843950271604,105.98431194119743,165.7100791098002,483.1812080536839
27,27,32,1,"[[1, 27, 32, '594.6', '0.340', 5]]",0,435.22649478912354,413.36976583003997,144.61970977957807,169.72902075906455,594.6446886446785
28,28,32,1,"[[1, 28, 32, '537.4', '0.361', 6]]",0,458.32217288017273,424.596604347229,138.20801435543018,197.1545450156979,537.3725490195989
29,29,32,1,"[[1, 29, 32, '631.3', '0.294', 7]]",0,450.7070095539093,439.6834369421005,124.10946220049405,196.3092183253749,631.2747252747195
30,30,32,1,"[[1, 30, 32, '556.9', '0.303', 8]]",0,413.2842903137207,444.12186608314516,108.45334182517391,167.3726418847907,556.9090909090817
31,31,32,1,"[[1, 31, 32, '479.5', '0.408', 9]]",0,475.90981459617615,447.30110409259794,143.5423384592688,147.03035660278013,479.52941176469767
32,32,32,1,"[[1, 32, 32, '494.2', '0.266', 10]]",0,439.9734983444214,446.50730712413787,66.80294205944327,152.6400757799017,494.2352941176431
33,33,32,1,"[[1, 33, 32, '643.1', '0.227', 11]]",0,499.99423933029175,454.16940066814425,81.34674023516573,203.59583512728256,643.0517928286748
34,34,32,1,"[[1, 34, 32, '430.9', '0.443', 12]]",0,480.00774598121643,456.06887011528016,144.25138980523232,170.72989131417128,430.92668621700255
35,35,32,1,"[[1, 35, 32, '479.2', '0.320', 13]]",0,453.848792552948,456.66661205291746,96.14003697899628,195.11862889641807,479.24840764330145
36,36,32,1,"[[1, 36, 32, '571.3', '0.248', 14]]",0,415.3184893131256,452.25925476551055,76.12419765158535,181.31671123744857,571.3386454183159
37,37,32,1,"[[1, 37, 32, '464.5', '0.269', 15]]",0,366.69131207466125,445.40573649406434,60.903966964653776,160.0763514651354,464.52842809364023
