,Generation,Population_size,Num_species,"list_of_[ID,age,size,fitness,adj_fit,stag]",Total_extinctions,Generation_time,Average_time,Average_fitness,Stdev_fitness,Best_genome_fitness
0,0,32,11,"[[1, 0, 3, '-53.0', '0.178', 0], [2, 0, 4, '-78.1', '0.040', 0], [3, 0, 3, '-72.1', '0.264', 0], [4, 0, 5, '-28.4', '0.330', 0], [5, 0, 4, '-31.6', '0.300', 0], [6, 0, 3, '-84.6', '0.025', 0], [7, 0, 5, '-61.0', '0.451', 0], [8, 0, 2, '-86.7', '0.018', 0], [9, 0, 1, '--', '--', 0], [10, 0, 2, '--', '--', 0], [11, 0, 1, '--', '--', 0]]",0,107.28550696372986,107.28550696372986,-77.19287888981017,14.956943752117386,-28.356055363322042
1,1,33,11,"[[1, 1, 4, '-52.4', '0.303', 0], [2, 1, 3, '-75.2', '0.121', 0], [3, 1, 2, '-67.5', '0.146', 0], [4, 1, 3, '-53.5', '0.272', 1], [5, 1, 6, '-25.9', '0.495', 0], [6, 1, 3, '-80.6', '0.060', 0], [7, 1, 3, '-76.4', '0.156', 1], [8, 1, 2, '-84.0', '0.033', 0], [9, 1, 2, '-87.0', '0.011', 0], [10, 1, 3, '-75.2', '0.169', 0], [11, 1, 3, '-76.0', '0.189', 0]]",0,150.4021713733673,128.84383916854858,-75.08246989534408,13.320584662983839,-25.918181818181914
2,2,34,11,"[[1, 2, 6, '-46.8', '0.215', 0], [2, 2, 2, '-75.7', '0.084', 1], [3, 2, 3, '-68.1', '0.117', 1], [4, 2, 2, '-63.7', '0.110', 2], [5, 2, 6, '25.5', '0.280', 0], [6, 2, 3, '-79.3', '0.069', 0], [7, 2, 3, '-44.3', '0.175', 0], [8, 2, 2, '-83.2', '0.020', 0], [9, 2, 2, '-76.0', '0.072', 0], [10, 2, 1, '-75.7', '0.061', 1], [11, 2, 4, '-43.6', '0.174', 0]]",0,144.84065651893616,134.17611161867777,-71.25793789759719,21.03836980603571,25.465217391304677
3,3,34,13,"[[1, 3, 4, '-3.2', '0.391', 0], [2, 3, 2, '-79.6', '0.096', 2], [3, 3, 3, '-48.6', '0.297', 0], [4, 3, 3, '-58.2', '0.268', 3], [5, 3, 4, '-37.4', '0.153', 1], [6, 3, 1, '-75.7', '0.115', 0], [7, 3, 5, '-46.6', '0.253', 1], [8, 3, 2, '-86.9', '0.011', 1], [9, 3, 2, '-86.8', '0.007', 1], [10, 3, 2, '-80.6', '0.086', 2], [11, 3, 4, '-13.4', '0.631', 0], [12, 0, 1, '--', '--', 0], [13, 0, 1, '--', '--', 0]]",0,206.28407216072083,152.20310175418854,-66.38782527900365,24.641685125950346,-3.1909090909086046
4,4,34,13,"[[1, 4, 3, '-43.4', '0.431', 1], [2, 4, 2, '-76.6', '0.166', 3], [3, 4, 2, '-53.2', '0.432', 1], [4, 4, 2, '-73.8', '0.125', 4], [5, 4, 3, '-53.2', '0.257', 2], [6, 4, 4, '-59.0', '0.495', 0], [7, 4, 2, '-74.5', '0.201', 2], [8, 4, 2, '-84.8', '0.035', 2], [9, 4, 2, '-83.5', '0.037', 2], [10, 4, 3, '-80.4', '0.123', 3], [11, 4, 3, '-29.8', '0.640', 1], [12, 1, 3, '-87.0', '0.011', 0], [13, 1, 3, '-83.6', '0.070', 0]]",0,126.08342552185059,146.97916650772095,-71.85352215329635,15.351300222092672,-29.842971887550362
5,5,34,13,"[[1, 5, 2, '-38.3', '0.171', 2], [2, 5, 2, '-74.0', '0.073', 0], [3, 5, 3, '-68.0', '0.095', 2], [5, 5, 3, '-55.2', '0.151', 3], [6, 5, 4, '52.2', '0.311', 0], [7, 5, 2, '-74.7', '0.085', 3], [8, 5, 2, '-87.1', '0.001', 3], [9, 5, 2, '-83.7', '0.013', 3], [10, 5, 3, '-42.0', '0.145', 0], [11, 5, 1, '16.6', '0.304', 0], [12, 2, 2, '-77.3', '0.026', 0], [13, 2, 5, '-50.8', '0.114', 0], [14, 0, 1, '--', '--', 0]]",0,184.8476951122284,153.2905879418055,-67.57580615789568,28.462323503842022,52.241463414635334
6,6,32,13,"[[1, 6, 5, '-12.9', '0.780', 3], [2, 6, 2, '-76.2', '0.134', 1], [3, 6, 2, '-66.2', '0.206', 3], [5, 6, 2, '-53.6', '0.260', 4], [6, 6, 4, '-72.3', '0.158', 1], [7, 6, 2, '-69.0', '0.211', 4], [8, 6, 2, '-83.0', '0.042', 0], [9, 6, 2, '-72.6', '0.103', 0], [10, 6, 2, '-80.2', '0.064', 1], [11, 6, 2, '-59.4', '0.379', 1], [12, 3, 2, '-81.2', '0.043', 1], [13, 3, 4, '-18.8', '0.310', 0], [14, 1, 3, '-46.5', '0.551', 0]]",0,164.9866898059845,154.96145963668823,-70.55627916782595,17.692909039158913,-12.919188191881453
7,7,34,11,"[[1, 7, 4, '-41.6', '0.303', 4], [2, 7, 3, '-77.1', '0.093', 2], [3, 7, 3, '-56.7', '0.228', 4], [6, 7, 2, '-74.4', '0.124', 2], [8, 7, 2, '-87.1', '0.007', 1], [9, 7, 2, '-83.0', '0.026', 1], [10, 7, 3, '-65.9', '0.183', 2], [11, 7, 5, '4.4', '0.806', 2], [12, 4, 2, '-60.7', '0.155', 0], [13, 4, 4, '-12.7', '0.533', 0], [14, 2, 4, '-38.5', '0.342', 0]]",0,162.8111801147461,155.94267469644547,-61.62137452546928,23.309153528782407,4.440145985400402
8,8,34,11,"[[1, 8, 5, '21.3', '0.397', 0], [2, 8, 2, '-72.2', '0.116', 0], [3, 8, 4, '-47.6', '0.261', 0], [6, 8, 3, '-69.3', '0.168', 3], [8, 8, 2, '-83.7', '0.022', 2], [9, 8, 2, '-86.8', '0.004', 2], [10, 8, 3, '-39.6', '0.292', 0], [11, 8, 4, '15.9', '0.324', 3], [12, 5, 2, '-60.7', '0.130', 1], [13, 5, 3, '-42.5', '0.289', 1], [14, 3, 4, '5.9', '0.460', 0]]",0,158.78459644317627,156.25844377941556,-59.25926383486775,27.708403785283807,21.28461538461616
9,9,34,13,"[[1, 9, 4, '-50.9', '0.275', 1], [2, 9, 1, '-36.4', '0.321', 0], [3, 9, 3, '-55.4', '0.193', 1], [6, 9, 2, '-69.5', '0.166', 4], [8, 9, 2, '-83.5', '0.022', 3], [9, 9, 2, '-73.0', '0.078', 3], [10, 9, 2, '-41.0', '0.411', 1], [11, 9, 4, '10.5', '0.575', 4], [12, 6, 2, '-76.8', '0.061', 2], [13, 6, 3, '-21.4', '0.495', 2], [14, 4, 5, '-7.8', '0.464', 1], [15, 0, 2, '--', '--', 0], [16, 0, 2, '--', '--', 0]]",0,139.10634684562683,154.54323408603668,-57.528479531450074,24.378434793832735,10.475163398693567
10,10,34,12,"[[1, 10, 1, '-34.3', '0.212', 2], [2, 10, 2, '-77.8', '0.063', 1], [3, 10, 2, '-59.5', '0.107', 2], [8, 10, 2, '-87.1', '0.003', 4], [9, 10, 2, '-83.5', '0.017', 4], [10, 10, 3, '-51.6', '0.181', 2], [11, 10, 5, '25.5', '0.364', 0], [12, 7, 2, '-80.5', '0.026', 3], [13, 7, 3, '5.5', '0.431', 0], [14, 5, 5, '78.7', '0.354', 0], [15, 1, 4, '-66.7', '0.111', 0], [16, 1, 2, '-73.7', '0.067', 0]]",0,114.5299334526062,155.26767673492432,-55.188593067027476,36.65947370956242,78.65747508305738
11,11,33,11,"[[1, 11, 3, '-41.5', '0.312', 3], [2, 11, 2, '-76.6', '0.074', 2], [3, 11, 3, '-37.1', '0.240', 0], [10, 11, 4, '-7.7', '0.300', 0], [11, 11, 5, '30.1', '0.378', 0], [12, 8, 2, '-82.2', '0.019', 4], [13, 8, 2, '-23.9', '0.161', 1], [14, 6, 6, '60.3', '0.437', 1], [15, 2, 3, '-28.5', '0.262', 0], [16, 2, 3, '-50.9', '0.150', 0], [17, 0, 1, '--', '--', 0]]",0,111.97498369216919,151.4249579668045,-52.57731290482416,33.71946278939304,60.311764705883135
