,Generation,Population_size,Num_species,"list_of_[ID,age,size,fitness,adj_fit,stag]",Total_extinctions,Generation_time,Average_time,Average_fitness,Stdev_fitness,Best_genome_fitness
0,0,32,1,"[[1, 0, 32, '-19.5', '0.134', 0]]",0,166.898268699646,166.898268699646,-79.15885235242301,15.569320598405671,-19.531914893617135
1,1,32,1,"[[1, 1, 32, '-6.9', '0.155', 0]]",0,146.98995280265808,156.94411075115204,-75.40694006727347,18.193849557434838,-6.851677852349567
2,2,32,1,"[[1, 2, 32, '165.6', '0.104', 0]]",0,234.55562233924866,182.81461461385092,-61.4980124750221,50.661471136033626,165.64912280702077
3,3,32,1,"[[1, 3, 32, '177.1', '0.132', 0]]",0,307.8767547607422,214.08014965057373,-52.465975415128824,54.00128760442525,177.0622710622745
4,4,32,1,"[[1, 4, 32, '285.7', '0.158', 0]]",0,301.3852348327637,231.54116668701172,-28.5859367054795,87.69889115625969,285.66101694915005
5,5,32,1,"[[1, 5, 32, '219.9', '0.157', 1]]",0,252.78035616874695,235.08103160063425,-39.16089319207858,78.2258570020729,219.89317406143306
6,6,32,1,"[[1, 6, 32, '207.5', '0.243', 2]]",0,373.58878326416016,254.86785326685225,-15.830718281272045,89.46229640853741,207.48730158730308
7,7,32,1,"[[1, 7, 32, '166.8', '0.222', 3]]",0,382.5017204284668,270.82208666205406,-30.774057600794325,65.15981783880916,166.76956521739436
8,8,32,1,"[[1, 8, 32, '362.8', '0.218', 0]]",0,496.55104517936707,295.90308205286664,13.166957211382371,119.49308709379147,362.8345323740973
9,9,32,1,"[[1, 9, 32, '303.9', '0.244', 1]]",0,539.0523931980133,320.2180131673813,7.723196973667925,107.45563419516999,303.9238754325255
10,10,32,1,"[[1, 10, 32, '384.1', '0.250', 0]]",0,774.5597994327545,380.98416624069216,30.795118572989175,125.45759628633908,384.1144781144742
11,11,32,1,"[[1, 11, 32, '387.4', '0.271', 0]]",0,662.5020136833191,432.5353723287582,41.64861250798233,135.3946159448969,387.36645962732473
12,12,32,1,"[[1, 12, 32, '464.9', '0.301', 0]]",0,709.9152932167053,480.0713394165039,78.0592591320042,152.99507734346517,464.92777777777206
13,13,32,1,"[[1, 13, 32, '279.7', '0.304', 1]]",0,545.8257706165314,503.8662410020828,23.818031663326504,115.05347765911402,279.6654804270479
14,14,32,1,"[[1, 14, 32, '455.7', '0.185', 2]]",0,557.2605609893799,529.4537736177444,12.599051003880978,126.92348452691657,455.6894409937802
15,15,32,1,"[[1, 15, 32, '419.3', '0.252', 3]]",0,620.4784307479858,566.2235810756683,39.89832508756685,139.40720950909437,419.33333333332695
16,16,32,1,"[[1, 16, 32, '539.5', '0.207', 0]]",0,507.4938054084778,579.6140832901001,41.969928699982496,158.58947602002957,539.4519572953656
17,17,32,1,"[[1, 17, 32, '387.4', '0.248', 1]]",0,518.4343531131744,593.2073465585709,30.166744789463344,140.44924210782946,387.3559322033873
18,18,32,1,"[[1, 18, 32, '528.2', '0.256', 2]]",0,801.2026934623718,623.6725113868713,70.13940025878095,174.08587452236367,528.2021582733707
19,19,32,1,"[[1, 19, 32, '308.9', '0.366', 3]]",0,709.9977464675903,640.767046713829,58.26326183039787,121.5120953562823,308.8776978417227
20,20,32,1,"[[1, 20, 32, '347.8', '0.200', 4]]",0,628.5624613761902,626.1673129081726,-0.5117388471003814,91.57018343626974,347.78082191780436
21,21,32,1,"[[1, 21, 32, '354.0', '0.287', 5]]",0,710.6036531925201,630.9774768590927,39.213264945034815,129.6289018321498,354.028673835121
22,22,32,1,"[[1, 22, 32, '297.8', '0.215', 6]]",0,688.1938602924347,628.8053335666657,-4.255309275520023,90.61456799803773,297.7525773195874
23,23,32,1,"[[1, 23, 32, '390.6', '0.307', 7]]",0,687.7776434421539,643.0005208492279,59.37068539642918,137.51729217677527,390.64163822524915
24,24,32,1,"[[1, 24, 32, '269.3', '0.188', 8]]",0,392.4114422798157,626.5156089782715,-20.051499912945264,89.86709893073767,269.25403726707987
25,25,32,1,"[[1, 25, 32, '293.8', '0.240', 9]]",0,382.07883501052856,602.6756494045258,4.145713402896457,102.24944813257251,293.8326996197721
26,26,32,1,"[[1, 26, 32, '302.0', '0.208', 10]]",0,315.47146368026733,583.4734152317047,-6.930100734545088,91.70599430216875,302.0038961038954
27,27,32,1,"[[1, 27, 32, '416.5', '0.206', 11]]",0,301.87409806251526,561.8173897266388,16.387963766782953,121.28211802750701,416.48951048950397
28,28,32,1,"[[1, 28, 32, '535.8', '0.139', 12]]",0,324.1491413116455,514.1120345115662,-1.0337093027874031,118.18169760523162,535.7709923664039
29,29,32,1,"[[1, 29, 32, '413.8', '0.283', 13]]",0,434.8816454410553,486.60042440891266,54.23437056278096,141.23498191161718,413.7519379844944
30,30,32,1,"[[1, 30, 32, '551.6', '0.292', 0]]",0,519.7279114723206,475.7169694185257,98.8750823531365,183.78626373394818,551.6140350877093
31,31,32,1,"[[1, 31, 32, '603.2', '0.302', 0]]",0,593.4682257175446,464.00342667102814,135.0264982486631,178.48478391231953,603.1830985915376
32,32,32,1,"[[1, 32, 32, '356.8', '0.233', 1]]",0,462.0057804584503,441.3846186876297,16.031035419999608,113.40833600280287,356.79365079364834
33,33,32,1,"[[1, 33, 32, '672.8', '0.165', 0]]",0,413.2441840171814,413.93127274513245,45.89948465439659,167.75936421438152,672.7844522968087
34,34,32,1,"[[1, 34, 32, '475.8', '0.270', 1]]",0,497.2511296272278,424.41524147987366,65.4244509267875,165.10494731422557,475.81132075471163
35,35,32,1,"[[1, 35, 32, '630.7', '0.278', 2]]",0,536.1166081428528,439.81901879310607,111.67813194723021,183.96537621642952,630.738675958177
36,36,32,1,"[[1, 36, 32, '618.1', '0.227', 3]]",0,463.8815658092499,454.6600290060043,72.40820017618657,185.5661588090004,618.1212121212003
37,37,32,1,"[[1, 37, 32, '465.7', '0.269', 4]]",0,398.621285200119,464.3347477197647,61.806908353259075,157.94792248070405,465.7014925373039
